Experiment Number (900 series refer to external references),sample or citation,ref,solute,solute SMILES,solvent,solvent SMILES,concentration (M),wiki page,gONS,notes,identifier,solute type,solubility - solute mass (g),solvent mass (g),solvent density (g/ml),solute density (g/ml) - from ChemSpider prediction,solvent volume (ml),solute volume (ml),total vol. (ml),solute MW,moles solute,calculated concentration (M)- assumes no expansion or contraction upon mixing,calc. conc. (M) from g/100ml,liquid at room temp (y/n),solute reacts with solvent,csid,TRUE,solubility g/l ,calculated conc in moles/liter,solubility mole fraction,solvent MW (g/mol)
1283,RAEVSKY OA; PERLOVICH GL and SCHAPER K-J. Physicochemical properties/descriptors governing the solubility and partitioning of chemicals in water-solvent-gas systems. Part 2. Solubility in 1-octanol. SAR and QSAR in Environmental Research Vol. 18 Nos. 5–6 July–September 2007 543–578,http://dx.doi.org/10.1080/10629360701430124,(-)-levonorgestrel,O=C4\C=C3/[C@@H]([C@H]2CC[C@]1([C@@H](CC[C@]1(C#C)O)[C@@H]2CC3)CC)CC4,1-octanol,OCCCCCCCC,0.0147910839,REF,,,REF1283,non-Ugi related,,,,,,,,,,,,n,,12560,FALSE,,,,
1308,Abraham M.H. and Acree Jr. W.E. The solubility of liquid and solid compounds in dry octan-1-ol. Chemosphere (2013),http://dx.doi.org/10.1016/j.chemosphere.2013.10.095,(-)-levonorgestrel,O=C4\C=C3/[C@@H]([C@H]2CC[C@]1([C@@H](CC[C@]1(C#C)O)[C@@H]2CC3)CC)CC4,1-octanol,OCCCCCCCC,0.014791083881682,REF,,25C,REF1308-Abraham M.H. and Acree Jr. W.E. The solubility of liquid and solid compounds in dry octan-1-ol. Chemosphere (2013),non-Ugi related,,,,,,,,,,,,n,,12560,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(1-diethylamino-1-oxopropan-2-yl) benzoate,C(=O)(C(OC(=O)c1ccccc1)C)N(CC)CC,water,O,0.008016780634,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10440027,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1,1-dioxido-1,2-thiazinan-2-yl)acetic acid",S1(=O)(=O)N(CC(=O)O)CCCC1,water,O,0.260015956317,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,21436929,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(1,2-dibromo-2,2-dichloroethyl) dimethyl phosphate",BrC(Cl)(Cl)C(Br)OP(=O)(OC)OC,water,O,0.005248074602,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,4267,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1,2,4,5-tetraacetyloxy-1-methoxypentan-3-yl) acetate",C(C(C(OC(=O)C)OC)OC(=O)C)(C(OC(=O)C)COC(=O)C)OC(=O)C,water,O,0.015275660582,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10469001,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1,4-diethoxy-1,4-dioxobutan-2-yl)sulfanyl-hydroxy-dimethoxyphosphanium",P(=O)(SC(C(=O)OCC)CC(=O)OCC)(OC)OC,water,O,0.000461317575,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,14674,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)urea",N1(C(=O)C(=C(N1C)C)NC(=O)N)c2ccccc2,water,O,0.030060763026,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,697077,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1,5,8a-trimethyl-2,8-dioxo-3a,4,5,5a,9,9a-hexahydro-1H-azuleno[6,5-b]furan-9-yl) acetate",C21(C(C3C(CC(C1C=CC2=O)C)OC(=O)C3C)OC(=O)C)C,water,O,0.006531305526,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,470973,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(17-acetyl-6-chloro-10,13-dimethyl-3-oxo-9,11,12,14,15,16-hexahydro-8H-cyclopenta[a]phenanthren-17-yl) acetate",ClC3=CC2C1C(C(CC1)(OC(=O)C)C(=O)C)(CCC2C4(C3=CC(=O)C=C4)C)C,water,O,0.000011220185,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,24407,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1E,2E)-2-((aminocarbonyl)hydrazono)propanal semicarbazone",C(=NNC(=O)N)(C=NNC(=O)N)C,water,O,0.011271974562,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,7855486,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1E,2E)-N,N'-Dihydroxy-1,2-diphenyl-1,2-ethanediimine",C(=NO)(C(=N[O-])c1ccccc1)c2ccccc2,water,O,0.000001261828,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,27473169,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1E,2E)-N,N'-Dihydroxy-4-(2-methyl-2-butanyl)-1,2-cyclohexanediimine",C(C1CC(=NO)C(=NO)CC1)(CC)(C)C,water,O,0.000108392691,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10469282,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1E,2E)-N,N'-Dihydroxy-4-isopropyl-1,2-cyclohexanediimine",C1(=NO)C(=NO)CCC(C1)C(C)C,water,O,0.004073802778,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10466824,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1E,2Z)-4-Ethyl-N,N'-dihydroxy-1,2-cyclohexanediimine",CCC1CC/C(=N\O)/C(=N\O)/C1,water,O,0.014689262776,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295088,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(1E)-1-(hydroxyimino)-2(1H)-naphthalenone,c21c(cccc1)C=CC(=O)C2=NO,water,O,0.001156112242,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,21686502,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(1H-Purin-6-ylsulfanyl)methyl acetate,CC(=O)OCSc1c2c([nH]cn2)ncn1,water,O,0.007177942913,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295104,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(1H-Purin-6-ylsulfanyl)methyl hexanoate,CCCCCC(=O)OCSc1c2c([nH]cn2)ncn1,water,O,0.000238781128,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295173,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(1H-Purin-6-ylsulfanyl)methyl octanoate,CCCCCCCC(=O)OCSc1c2c([nH]cn2)ncn1,water,O,0.00002432204,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295205,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(1H-Purin-6-ylsulfanyl)methyl propionate,CCC(=O)OCSc1c2c([nH]cn2)ncn1,water,O,0.004027170343,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295116,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(1H-Purin-6-ylsulfanyl)methyl valerate,CCCCC(=O)OCSc1c2c([nH]cn2)ncn1,water,O,0.000788860118,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295148,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1Z,2E)-N,N'-Dihydroxy-3,6-dimethyl-1,2-cyclohexanediimine",CC\1CCC(/C(=N/O)/C1=N/O)C,water,O,0.047424198526,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295059,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(1Z,2Z)-N,N'-Dihydroxy-4-(2,4,4-trimethyl-2-pentanyl)-1,2-cyclohexanediimine",C(C1CC(=NO)C(=NO)CC1)(CC(C)(C)C)(C)C,water,O,0.000000392645,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10469287,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-acetamido-2-oxoethyl) benzoate,c1(ccccc1)C(=O)OCC(=O)NC(=O)C,water,O,0.003971915495,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10436392,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-amino-2-oxoethyl) benzoate,c1(ccccc1)C(=O)OCC(=O)N,water,O,0.022855988034,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,4345375,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-butan-2-ylphenyl) N-methylcarbamate,c1(c(cccc1)C(CC)C)OC(=O)NC,water,O,0.002944421634,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,18452,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,(2-chlorophenyl)-(4-chlorophenyl)-pyrimidin-5-ylmethanol,Clc1c(cccc1)C(O)(c2cncnc2)c3ccc(cc3)Cl,water,O,0.000041686938,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,39394,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-diethylamino-1-phenylethyl) 4-nitrobenzoate,C(c1ccccc1)(OC(=O)c2ccc(cc2)[N+](=O)[O-])CN(CC)CC,water,O,0.001432187899,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,3211637,FALSE,,,,
