Compound Name,Formula,Water Solubility (mg/L),Water Solubility (g/L)
"A-(2,2,2-Trichloroethyl)styrene",C10H9Cl3,12.3,0.0123
A-Aminocaproic Acid,C6H13NO2,12000,12
Abamectin B1a,C48H72O14,1.21,0.00121
Abietic Acid,C20H30O2,48.4,0.0484
A-Bromobutyric Acid,C4H7BrO2,70000,70
"Ac 94,377",C15H15ClN2O3,30,0.03
Acebutolol Hydrochloride,C18H28ClN2O4,200,0.2
Acenaphthene,C12H10,3.9,0.0039
Acenaphthylene,C12H8,16.1,0.0161
"Acenaphthylene, 1,2-Dihydro-5-Nitro-",C12H9NO2,91,0.091
Acephate,C4H10NO3PS,818000,818
Acequinocyl,C24H34O4,6690,6.69
Acetaldehyde,C2H4O,1000000,1000
Acetamide,C2H5NO,2250000,2250
"Acetamide, 2,2,2-Tribromo-",C2H2Br3NO,16000,16
"Acetamide, 2-[(2,3-Dihydro-1,5-Dimethyl-3-Oxo-2-",C13H16N4O2,5000,5
"Acetamide, 2,2-Dibromo-",C2H3Br2NO,19000,19
"Acetamide, 2,2-Dichloro-",C2H3Cl2NO,71000,71
"Acetamide, 2,2-Dichloro-N,n-Di-2-Propenyl-",C8H11Cl2NO,5000,5
"Acetamide, 2,2-Dichloro-n-Phenyl-",C8H7Cl2NO,90,0.09
"Acetamide, 2-(acetylamino)-n-Phenyl-",C10H12N2O2,5200,5.2
"Acetamide, 2-(benzoyloxy)-",C9H9NO3,4100,4.1
"Acetamide, 2-[[(benzoyloxy)acetyl]amino]-",C11H12N2O4,7500,7.5
"Acetamide, 2-(benzoyloxy)-n-(1,1-Dimethylethyl)-",C13H17NO3,320,0.32
"Acetamide, 2-(benzoyloxy)-n-(1-Methylethyl)-",C12H15NO3,410,0.41
"Acetamide, 2-(benzoyloxy)-n-[2-Hydroxy-1,1-Bis(h",C13H17NO6,15300,15.3
"Acetamide, 2-(benzoyloxy)-n-(2-Hydroxyethyl)-n-m",C12H15NO4,19300,19.3
"Acetamide, 2-(benzoyloxy)-n-Butyl-",C13H17NO3,410,0.41
"Acetamide, 2-(benzoyloxy)-n-Ethyl-",C11H13NO3,1200,1.2
"Acetamide, 2-(benzoyloxy)-n-Ethyl-n-(2-Hydroxyet",C13H17NO4,10800,10.8
"Acetamide, 2-(benzoyloxy)-n-Hexyl-",C15H21NO3,33,0.033
"Acetamide, 2-(benzoyloxy)-n-Methyl-",C10H11NO3,3700,3.7
"Acetamide, 2-(benzoyloxy)-N,n-Bis(1-Methylethyl)",C15H21NO3,120,0.12
"Acetamide, 2-(benzoyloxy)-N,n-Bis(2-Hydroxyethyl",C13H17NO5,720000,720
"Acetamide, 2-(benzoyloxy)-N,n-Bis(2-Hydroxypropy",C15H21NO5,19600,19.6
"Acetamide, 2-(benzoyloxy)-N,n-Bis(2-Methoxyethyl",C15H21NO5,78900,78.9
"Acetamide, 2-(benzoyloxy)-N,n-Bis(2-Methylpropyl",C17H25NO3,80,0.08
"Acetamide, 2-(benzoyloxy)-N,n-Bis(2-Propenyl)-",C15H17NO3,710,0.71
"Acetamide, 2-(benzoyloxy)-N,n-Dibutyl-",C17H25NO3,80,0.08
